
dominio,nombre,descripcion
"TARJETA","TIENE_IGUAL_TARJETAS_PAGO_ACTIVA","Tiene X tarjetas activas (parámetro)"
"TARJETA","TIENE_MAS_DE_X_TARJETAS_PAGO_ACTIVA","Tiene más de X tarjetas activas (parámetro)"
"TARJETA","TIENE_MOVIMIENTO_TARJETA","Tiene movimientos en tarjeta (crédito, mixta o prepago)"
"TARJETA","TIENE_TARJETA_CREDITO_ACTIVA","Tarjetas de crédito activas (parametrizable)"
"TARJETA","TIENE_TARJETA_DEBITO_ACTIVA","Tarjetas de débito activas (parametrizable)"
"TARJETA","TIENE_TARJETA_MOVIMIENTO_CONFIRMADO","Movimientos en estado confirmado en tarjetas"
"TARJETA","TIENE_TARJETA_MOVIMIENTO_PENDIENTE","Movimientos en estado pendiente en tarjetas"
"TARJETA","TIENE_TARJETA_PAGO_ACTIVA","Tarjetas activas (tipo y titularidad parametrizable)"
"TARJETA","TIENE_TIPO_APLICACION_MOVIL_TARJETA","Tarjeta activa en el wallet de la aplicación móvil (Apple Pay, Google Pay)"

